metric_id,dataset,official_source_url,source_file,source_sheet,source_cell_row_1_based,source_cell_col_1_based,population,sex,jurisdiction,period,reference_period,experience_window,indicator,value_percent,rse_percent,reliability_flag,unit,notes
Table_3.1_r21_c3_Females_Australia_2005,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,3,Persons aged 18 years and over,Females,Australia,2005,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,5.8,4.9,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c4_Females_Australia_2012,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,4,Persons aged 18 years and over,Females,Australia,2012,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,5.3,5.9,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c5_Females_Australia_2016,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,5,Persons aged 18 years and over,Females,Australia,2016,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,4.7,5.8,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c6_Females_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,6,Persons aged 18 years and over,Females,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,4.2,7.0,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c7_Males_Australia_2005,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,7,Persons aged 18 years and over,Males,Australia,2005,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,10.8,6.2,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c8_Males_Australia_2012,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,8,Persons aged 18 years and over,Males,Australia,2012,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,8.7,7.4,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c9_Males_Australia_2016,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,9,Persons aged 18 years and over,Males,Australia,2016,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,6.0,6.8,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r21_c10_Males_Australia_2021-22,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,21,10,Persons aged 18 years and over,Males,Australia,2021-22,"2021-22 release, released 2023-03-15",Last 12 months,Total violence in the last 12 months,6.0,16.2,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r26_c2_Females_Australia_1996,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,26,2,Persons aged 18 years and over,Females,Australia,1996,"2021-22 release, released 2023-03-15",Last 12 months,Intimate partner violence in the last 12 months,,,not_available_or_not_applicable,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
Table_3.1_r26_c3_Females_Australia_2005,ABS Personal Safety Survey,https://www.abs.gov.au/statistics/people/crime-and-justice/personal-safety-australia/latest-release,PSS National prevalence and time series (Tables 1 to 8).xlsx,Table 3.1,26,3,Persons aged 18 years and over,Females,Australia,2005,"2021-22 release, released 2023-03-15",Last 12 months,Intimate partner violence in the last 12 months,2.3,7.6,generally_reliable_rse_under_25,percent,Some ABS time-series indicators have comparability cautions; check table footnotes.
